locus	organism	source	kept	interpro_entries
AT3G02260	arabidopsis_thaliana	region:3:1	false	IPR000433,IPR003126,IPR011989,IPR016024,IPR025704,IPR036322,IPR043145,IPR045189,IPR056530,IPR063252,IPR063851
AT3G03120	arabidopsis_thaliana	region:3:1	false	IPR005225,IPR006689,IPR024156,IPR027417
AT3G03820	arabidopsis_thaliana	region:3:1	false	IPR003676
AT3G03830	arabidopsis_thaliana	region:3:1	false	IPR003676
AT3G03840	arabidopsis_thaliana	region:3:1	false	IPR003676
AT3G03847	arabidopsis_thaliana	region:3:1	false	IPR003676
AT3G03850	arabidopsis_thaliana	region:3:1	false	IPR003676
AT3G06160	arabidopsis_thaliana	region:3:1	false	IPR003340,IPR015300,IPR050655
AT3G06220	arabidopsis_thaliana	region:3:1	false	IPR003340,IPR015300,IPR050655
AT3G07390	arabidopsis_thaliana	region:3:1	false	IPR005018,IPR045265,IPR065467
AT3G07490	arabidopsis_thaliana	region:3:1	false	IPR002048,IPR011992,IPR018247,IPR039647
AT3G07940	arabidopsis_thaliana	region:3:1	false	IPR000008,IPR001164,IPR035892,IPR037278,IPR038508,IPR044518
AT3G09870	arabidopsis_thaliana	region:3:1	false	IPR003676
AT3G11580	arabidopsis_thaliana	region:3:1	false	IPR003340,IPR015300,IPR044800
AT3G12830	arabidopsis_thaliana	region:3:4000001	false	IPR003676
AT3G12955	arabidopsis_thaliana	region:3:4000001	false	IPR003676
AT3G17010	arabidopsis_thaliana	region:3:4000001	false	IPR003340,IPR015300,IPR039218
AT3G17660	arabidopsis_thaliana	region:3:4000001	false	IPR001164,IPR037278,IPR038508,IPR044520
AT3G18960	arabidopsis_thaliana	region:3:4000001	false	IPR003340,IPR015300,IPR050655
AT3G18990	arabidopsis_thaliana	region:3:4000001	false	IPR003340,IPR015300,IPR050655
AT3G19184	arabidopsis_thaliana	region:3:4000001	false	IPR003340,IPR015300,IPR044837
AT3G20220	arabidopsis_thaliana	region:3:4000001	false	IPR003676
AT3G22810	arabidopsis_thaliana	region:3:8000001	false	IPR008546,IPR013666,IPR040269
AT3G22950	arabidopsis_thaliana	region:3:8000001	false	IPR005225,IPR006689,IPR024156,IPR027417
AT3G24650	arabidopsis_thaliana	region:3:8000001	false	IPR003340,IPR015300,IPR044800
AT3G24850	arabidopsis_thaliana	region:3:8000001	false	IPR003340,IPR005508,IPR015300
AT3G25290	arabidopsis_thaliana	region:3:8000001	false	IPR005018,IPR006593,IPR017214,IPR045265,IPR065467
AT3G26790	arabidopsis_thaliana	region:3:8000001	false	IPR003340,IPR015300,IPR044800
AT3G26810	arabidopsis_thaliana	region:3:8000001	false	IPR001611,IPR001810,IPR006553,IPR032675,IPR041101,IPR041567
AT3G28853	arabidopsis_thaliana	region:3:8000001	false	IPR003340,IPR015300,IPR051442
AT3G43120	arabidopsis_thaliana	region:3:12000001	false	IPR003676
AT3G46770	arabidopsis_thaliana	region:3:16000001	false	IPR003340,IPR015300,IPR050655
AT3G49610	arabidopsis_thaliana	region:3:16000001	false	IPR003340,IPR005508,IPR015300
AT3G51200	arabidopsis_thaliana	region:3:16000001	false	IPR003676
AT3G53250	arabidopsis_thaliana	region:3:16000001	false	IPR003676
AT3G53310	arabidopsis_thaliana	region:3:16000001	false	IPR003340,IPR015300,IPR050655
AT3G53710	arabidopsis_thaliana	region:3:16000001	false	IPR001164,IPR037278,IPR038508,IPR044519
AT3G59900	arabidopsis_thaliana	region:3:20000001	false	IPR037468
AT3G60690	arabidopsis_thaliana	region:3:20000001	false	IPR003676
AT3G61570	arabidopsis_thaliana	region:3:20000001	false	none
AT3G61830	arabidopsis_thaliana	region:3:20000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT3G61840	arabidopsis_thaliana	region:3:20000001	false	IPR007789
AT3G61900	arabidopsis_thaliana	region:3:20000001	false	IPR003676
AT3G61970	arabidopsis_thaliana	region:3:20000001	false	IPR003340,IPR015300,IPR044800
AT3G62290	arabidopsis_thaliana	region:3:20000001	false	IPR006689,IPR024156,IPR027417
AT4G00260	arabidopsis_thaliana	region:4:1	false	IPR003340,IPR015300,IPR039218
AT4G00880	arabidopsis_thaliana	region:4:1	false	IPR003676
AT4G01500	arabidopsis_thaliana	region:4:1	false	IPR003340,IPR015300,IPR044800
AT4G01580	arabidopsis_thaliana	region:4:1	false	IPR003340,IPR015300,IPR050655
AT4G02870	arabidopsis_thaliana	region:4:1	false	IPR003340,IPR015300,IPR051442
AT4G02980	arabidopsis_thaliana	region:4:1	false	IPR000526,IPR011051,IPR014710
AT4G03160	arabidopsis_thaliana	region:4:1	false	IPR003340,IPR005508,IPR015300
AT4G03170	arabidopsis_thaliana	region:4:1	false	IPR003340,IPR005508,IPR015300
AT4G03400	arabidopsis_thaliana	region:4:1	false	IPR004993,IPR055377,IPR055378
AT4G04800	arabidopsis_thaliana	region:4:1	false	IPR002579,IPR011057,IPR028427
AT4G05330	arabidopsis_thaliana	region:4:1	false	IPR000008,IPR001164,IPR035892,IPR037278,IPR038508,IPR044518
AT4G05630	arabidopsis_thaliana	region:4:1	false	IPR003340,IPR015300,IPR051442
AT4G09530	arabidopsis_thaliana	region:4:4000001	false	IPR003676
AT4G12410	arabidopsis_thaliana	region:4:4000001	false	IPR003676
AT4G12550	arabidopsis_thaliana	region:4:4000001	false	IPR016140,IPR027923,IPR036312,IPR051636
AT4G12617	arabidopsis_thaliana	region:4:4000001	false	IPR003340,IPR015300,IPR051442
AT4G12980	arabidopsis_thaliana	region:4:4000001	false	IPR005018,IPR006593,IPR017214,IPR045265,IPR065467
AT4G13790	arabidopsis_thaliana	region:4:4000001	false	IPR003676
AT4G14540	arabidopsis_thaliana	region:4:8000001	false	IPR003956,IPR003958,IPR009072,IPR027113
AT4G14740	arabidopsis_thaliana	region:4:8000001	false	IPR008546,IPR013666,IPR040269
AT4G16670	arabidopsis_thaliana	region:4:8000001	false	IPR008546,IPR013666,IPR040269
AT4G17280	arabidopsis_thaliana	region:4:8000001	false	IPR005018,IPR006593,IPR017214,IPR045265,IPR065467
AT4G17350	arabidopsis_thaliana	region:4:8000001	false	IPR001849,IPR008546,IPR013666,IPR040269
AT4G17890	arabidopsis_thaliana	region:4:8000001	false	IPR001164,IPR037278,IPR038508
AT4G21160	arabidopsis_thaliana	region:4:8000001	false	IPR000008,IPR001164,IPR035892,IPR037278,IPR038508,IPR044518
AT4G21490	arabidopsis_thaliana	region:4:8000001	false	IPR002048,IPR011992,IPR023753,IPR036188,IPR045024,IPR054585
AT4G22620	arabidopsis_thaliana	region:4:8000001	false	IPR003676
AT4G23980	arabidopsis_thaliana	region:4:12000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT4G27260	arabidopsis_thaliana	region:4:12000001	false	IPR004993,IPR055377,IPR055378
AT4G28250	arabidopsis_thaliana	region:4:12000001	false	IPR005795,IPR007112,IPR007117,IPR007118,IPR009009,IPR036749,IPR036908
AT4G30080	arabidopsis_thaliana	paralog:AT2G28350	true	IPR003340,IPR010525,IPR015300,IPR044835,IPR053793
AT4G31320	arabidopsis_thaliana	region:4:12000001	false	IPR003676
AT4G31610	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31615	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31620	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31630	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31640	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31650	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31660	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31680	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G31685	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300
AT4G31690	arabidopsis_thaliana	region:4:12000001	false	IPR003340,IPR015300,IPR039218
AT4G32630	arabidopsis_thaliana	region:4:12000001	false	IPR001164,IPR037278,IPR038508,IPR044820
AT4G33280	arabidopsis_thaliana	region:4:16000001	false	IPR003340,IPR015300,IPR044837
AT4G34400	arabidopsis_thaliana	region:4:16000001	false	IPR003340,IPR015300,IPR050655
AT4G34750	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G34760	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G34770	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G34780	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G34790	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G34800	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G34810	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G36110	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G37390	arabidopsis_thaliana	region:4:16000001	false	IPR004993,IPR055377,IPR055378
AT4G38825	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G38840	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G38850	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT4G38860	arabidopsis_thaliana	region:4:16000001	false	IPR003676
AT5G01990	arabidopsis_thaliana	region:5:1	false	IPR004776,IPR039305
AT5G03310	arabidopsis_thaliana	region:5:1	false	IPR003676
AT5G04110	arabidopsis_thaliana	region:5:1	false	IPR000565,IPR000949,IPR001005,IPR001241,IPR013506,IPR014721,IPR020568
AT5G05380	arabidopsis_thaliana	region:5:1	false	IPR004895
AT5G06250	arabidopsis_thaliana	region:5:1	false	IPR003340,IPR015300,IPR044800
AT5G09780	arabidopsis_thaliana	region:5:1	false	IPR003340,IPR015300,IPR050655
AT5G10990	arabidopsis_thaliana	region:5:1	false	IPR003676
AT5G13300	arabidopsis_thaliana	region:5:4000001	false	IPR001164,IPR001849,IPR002110,IPR004148,IPR011993,IPR027267,IPR035670,IPR036770,IPR037278,IPR038508,IPR045258
AT5G13320	arabidopsis_thaliana	region:5:4000001	false	IPR004993,IPR055377,IPR055378
AT5G13350	arabidopsis_thaliana	region:5:4000001	false	IPR004993,IPR055377,IPR055378
AT5G13360	arabidopsis_thaliana	region:5:4000001	false	IPR004993,IPR055377,IPR055378
AT5G13370	arabidopsis_thaliana	region:5:4000001	false	IPR004993,IPR055377,IPR055378
AT5G13380	arabidopsis_thaliana	region:5:4000001	false	IPR004993,IPR055377,IPR055378
AT5G14670	arabidopsis_thaliana	region:5:4000001	false	IPR005225,IPR006689,IPR024156,IPR027417,IPR045872
AT5G15100	arabidopsis_thaliana	region:5:4000001	false	IPR004776,IPR014024,IPR051107
AT5G15450	arabidopsis_thaliana	region:5:4000001	false	IPR001270,IPR003593,IPR003959,IPR004176,IPR017730,IPR018368,IPR019489,IPR027417,IPR028299,IPR036628,IPR041546,IPR050130
AT5G16530	arabidopsis_thaliana	region:5:4000001	false	IPR004776,IPR014024,IPR051107
AT5G17060	arabidopsis_thaliana	region:5:4000001	false	IPR005225,IPR006689,IPR024156,IPR027417,IPR045872
AT5G18010	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G18020	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G18030	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G18050	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G18060	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G18080	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G18090	arabidopsis_thaliana	region:5:4000001	false	IPR003340,IPR015300,IPR039218
AT5G20730	arabidopsis_thaliana	region:5:4000001	true	IPR003340,IPR010525,IPR015300,IPR033389,IPR044835,IPR053793
AT5G20810	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G20820	arabidopsis_thaliana	region:5:4000001	false	IPR003676
AT5G24050	arabidopsis_thaliana	region:5:8000001	false	IPR003340,IPR005508,IPR015300
AT5G25470	arabidopsis_thaliana	region:5:8000001	false	IPR003340,IPR015300,IPR050655
AT5G25475	arabidopsis_thaliana	region:5:8000001	false	IPR003340,IPR015300,IPR050655
AT5G26805	arabidopsis_thaliana	region:5:8000001	false	IPR003340,IPR015300,IPR051442,IPR062761
AT5G27780	arabidopsis_thaliana	region:5:8000001	false	IPR003676
AT5G32460	arabidopsis_thaliana	region:5:12000001	false	IPR003340,IPR015300,IPR039218
AT5G35735	arabidopsis_thaliana	region:5:12000001	false	IPR005018,IPR006593,IPR017214,IPR045265,IPR065467
AT5G37020	arabidopsis_thaliana	region:5:12000001	true	IPR003340,IPR010525,IPR015300,IPR044835,IPR053793
AT5G38300	arabidopsis_thaliana	region:5:12000001	false	IPR065374
AT5G38490	arabidopsis_thaliana	region:5:12000001	false	IPR003340,IPR005508,IPR015300
AT5G38500	arabidopsis_thaliana	region:5:12000001	false	IPR003340,IPR005508,IPR015300
AT5G42410	arabidopsis_thaliana	region:5:16000001	false	IPR003676
AT5G42700	arabidopsis_thaliana	region:5:16000001	false	IPR003340,IPR015300,IPR044837
AT5G43870	arabidopsis_thaliana	region:5:16000001	false	IPR008546,IPR013666,IPR040269
AT5G44300	arabidopsis_thaliana	region:5:16000001	false	IPR008406
AT5G46750	arabidopsis_thaliana	region:5:16000001	false	IPR001164,IPR037278,IPR038508
AT5G46915	arabidopsis_thaliana	region:5:16000001	false	IPR015300,IPR044837
AT5G47440	arabidopsis_thaliana	region:5:16000001	false	IPR001849,IPR008546,IPR013666,IPR040269
AT5G47530	arabidopsis_thaliana	region:5:16000001	false	IPR005018,IPR006593,IPR017214,IPR045265,IPR065467
AT5G49980	arabidopsis_thaliana	region:5:20000001	false	IPR006553,IPR032675,IPR036047,IPR041101,IPR041567
AT5G50760	arabidopsis_thaliana	region:5:20000001	false	IPR003676
AT5G51470	arabidopsis_thaliana	region:5:20000001	false	IPR004993,IPR055377,IPR055378
AT5G53590	arabidopsis_thaliana	region:5:20000001	false	IPR003676
AT5G54067	arabidopsis_thaliana	region:5:20000001	false	IPR003340,IPR015300,IPR051442
AT5G54310	arabidopsis_thaliana	region:5:20000001	false	IPR001164,IPR037278,IPR038508,IPR044520
AT5G54510	arabidopsis_thaliana	region:5:20000001	false	IPR004993,IPR055377,IPR055378
AT5G57090	arabidopsis_thaliana	region:5:20000001	false	IPR004776,IPR014024,IPR051107
AT5G57720	arabidopsis_thaliana	region:5:20000001	false	IPR003340,IPR015300,IPR050655
AT5G57770	arabidopsis_thaliana	region:5:20000001	false	IPR008546,IPR013666,IPR040269
